iid1	iid2	Nonnormalized_P0	Nonnormalized_P0_serr	OverlapNSNPs
Sample26	Sample22	0.252131546894032	0.0061520336748786	8210
Sample26	Sample25	0.235550708833152	0.0158929803488661	917
Sample26	Sample31	0.262542955326461	0.0142717248869181	1455
Sample26	Sample18	0.232040686586141	0.0133951026081976	1573
Sample52	Sample50	0.268927775804733	0.0034632624505669	61946
Sample52	Sample40	0.267209564766523	0.0040535486323981	32787
Sample52	Sample47	0.26555700204575	0.0033501215498918	53770
Sample52	Sample32	0.230585041678938	0.0032059748809271	78097
Sample52	Sample33	0.259582652178094	0.0033332049965658	51995
Sample52	Sample14	0.236599395848062	0.0034223863360311	62236
Sample52	Sample9	0.271348535131856	0.0034429551415279	56046
Sample52	Sample11	0.265190991889075	0.0032357045591713	88276
Sample52	Sample53	0.269874120425604	0.0027936145350654	82142
Sample52	Sample46	0.257968706554435	0.0029444970064627	79122
Sample52	Sample55	0.273440027402995	0.0032593135438969	52549
Sample52	Sample34	0.273182044955032	0.0038393564241449	74163
Sample52	Sample5	0.247686703096539	0.0052015492250745	27450
Sample52	Sample39	0.278786323689781	0.0035219947840236	62356
Sample52	Sample49	0.273449920508744	0.0040656363702505	33966
Sample52	Sample56	0.275562468155855	0.0032368009633995	74582
Sample52	Sample20	0.275928072682177	0.003924640974431	37093
Sample52	Sample36	0.280592432041904	0.0034384943656077	44292
Sample52	Sample37	0.274872569378894	0.0033062301098954	84752
Sample52	Sample41	0.265735257950396	0.0031341681707986	105718
Sample52	Sample28	0.275466725236108	0.0047602438890431	22765
Sample52	Sample2	0.277842605156038	0.0031934584238603	73700
Sample52	Sample29	0.281709627296141	0.0034973866360877	46981
Sample52	Sample30	0.263501080086407	0.003447089627021	74994
Sample52	Sample3	0.277294260218134	0.0044285893488141	45385
Sample52	Sample8	0.278015397775877	0.0062246732105675	12859
Sample52	Sample42	0.274158079348636	0.0035850287899606	55023
Sample52	Sample35	0.274756953126149	0.0033113630414264	67991
Sample52	Sample12	0.271304781497413	0.0057057969574898	16041
Sample52	Sample21	0.280359234673955	0.0056351568860026	15366
Sample52	Sample16	0.279769929001528	0.0052058346729519	22254
Sample52	Sample19	0.261929687396472	0.0035861834976152	75463
Sample52	Sample15	0.280328418230563	0.0037873572210192	47744
Sample52	Sample10	0.276154449891278	0.0035130467886073	77721
Sample52	Sample23	0.275869426072114	0.0030621902190605	79679
Sample52	Sample44	0.272989717059462	0.0033856665519311	78285
Sample52	Sample1	0.271463376472429	0.0033801300335544	89478
Sample52	Sample51	0.277383571039996	0.0027056746619707	84558
Sample52	Sample17	0.276401650257236	0.0036756202402142	60839
Sample52	Sample48	0.278330310653484	0.0041559120289473	34186
Sample52	Sample13	0.276727402643801	0.0035263636558654	69975
Sample52	Sample57	0.277252923641367	0.0038015265200439	43610
Sample52	Sample54	0.263865399195194	0.0039010518770763	34294
Sample52	Sample7	0.271810953074252	0.004099945488855	26787
Sample52	Sample58	0.278580636406812	0.004050270505313	44217
Sample52	Sample27	0.281939714024216	0.00339962458232	66649
Sample52	Sample45	0.257975383069581	0.0067442907964524	7962
Sample52	Sample24	0.258161904093239	0.0057985515029459	14243
Sample52	Sample22	0.233578515224085	0.0030133637984757	58460
Sample52	Sample25	0.263771186440678	0.0101207225068229	3776
Sample52	Sample31	0.264132231404959	0.0079009512020684	6050
Sample52	Sample18	0.260195106348953	0.0075526459086414	6253
Sample50	Sample40	0.276758461074028	0.004367749273643	29813
Sample50	Sample47	0.244076467420571	0.0042855125204512	44568
Sample50	Sample32	0.267484727196124	0.0037234994957081	56964
Sample50	Sample33	0.266161855182205	0.0036692851978138	42260
Sample50	Sample14	0.274311207572195	0.0039892147056735	49761
Sample50	Sample9	0.274996718155166	0.0039841033446957	45706
Sample50	Sample11	0.226793299288885	0.0039341115707709	62859
Sample50	Sample53	0.270696051361103	0.0037420321738937	59033
Sample50	Sample46	0.266920363516308	0.0036689497656827	57549
Sample50	Sample55	0.274589399029489	0.00392984283906	42864
Sample50	Sample34	0.247541190695324	0.003478387720401	55413
Sample50	Sample5	0.274662335441956	0.0051934003800365	23396
Sample50	Sample39	0.280066940141636	0.0039810507080838	48999
Sample50	Sample49	0.23903112716456	0.0047044179023099	28239
Sample50	Sample56	0.279236881640632	0.0038733648942569	55247
Sample50	Sample20	0.276623625671184	0.0042703106543473	31288
Sample50	Sample36	0.28237116764514	0.0043472707420149	36792
Sample50	Sample37	0.263531822087106	0.003769758522405	60524
Sample50	Sample41	0.275534962581852	0.0030756420075902	68416
Sample50	Sample28	0.275005297732571	0.0047086072117152	18876
Sample50	Sample2	0.247961446136368	0.003356697193109	54573
Sample50	Sample29	0.284606925408363	0.0041128137767855	37283
Sample50	Sample30	0.277373708277824	0.0039144717986327	55546
Sample50	Sample3	0.272688114147261	0.0045384734146402	37145
Sample50	Sample8	0.275436893203884	0.0067599421185656	10300
Sample50	Sample42	0.278741609151933	0.0040449193719626	42308
Sample50	Sample35	0.282479400897074	0.0039855051069672	50609
Sample50	Sample12	0.2770206022187	0.006254950597636	12620
Sample50	Sample21	0.28090692124105	0.006328753655805	12570
Sample50	Sample16	0.239452175833886	0.0055306687825489	18108
Sample50	Sample19	0.279670621568975	0.0035067582278113	56470
Sample50	Sample15	0.272520282648521	0.0041973840077891	38210
Sample50	Sample10	0.21311731339659	0.0035607335160217	57649
Sample50	Sample23	0.246453840106641	0.0036942280504311	58514
Sample50	Sample44	0.209754264929387	0.0030206771802239	58559
Sample50	Sample1	0.260818731929281	0.0036366920443109	63293
Sample50	Sample51	0.279746235222943	0.0033182993657053	61159
Sample50	Sample17	0.262478538775004	0.0041329056976296	48343
Sample50	Sample48	0.284199065781618	0.0045049907901725	28473
Sample50	Sample13	0.27668433005299	0.0034936337821238	52840
Sample50	Sample57	0.277326512830602	0.0044305633304098	35579
Sample50	Sample54	0.286350819786264	0.0042956214195896	28727
Sample50	Sample7	0.273788389845553	0.0048142075900581	22532
Sample50	Sample58	0.272051787222066	0.0042246936660579	35530
